matchID,totalSpeechTime,numSpeechSegs,avgSpeechTime,stdDevSpeech,totalSilenceTime,silenceRatio,avgSilenceTime,firstSilenceDuration,WC,Analytic,Clout,Authentic,Tone,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,CharNames,Tactics,TeamComposition,GameModes,AbilitiesAndUlts,OverwatchLanguage,Weapons,Location,NegAndInsults,Ranks,Positive,rank,matchOutcome,partySize,matchPercentComplete,binary_toxicity
toxic26,67.96632072727273,13.545454545454545,5.192028006727272,4.364866253545454,46.62062056090909,0.42130981763636366,3.945431002,6.3583357272727286,146.36363636363637,35.61454545454546,73.79090909090908,46.141818181818174,44.97636363636363,46.31545454545454,18.139090909090907,12.696363636363635,5.255454545454545,1.9681818181818185,3.328181818181818,1.2727272727272727,0.87,5.380909090909092,4.810909090909091,8.111818181818181,9.622727272727273,5.985454545454545,3.911818181818181,1.9436363636363638,19.427272727272726,5.173636363636363,2.262727272727273,2.0145454545454546,2.260909090909091,1.8636363636363635,10.08,5.491818181818181,4.586363636363637,0.12545454545454546,2.8745454545454545,0.8645454545454545,14.122727272727275,1.5090909090909093,1.3299999999999998,1.0863636363636364,1.6881818181818182,8.804545454545455,1.2136363636363638,1.2772727272727273,1.5127272727272727,3.1263636363636365,0.7418181818181818,2.3454545454545457,2.230909090909091,0.8081818181818182,0.6672727272727272,0.6663636363636364,4.041818181818181,1.7363636363636366,0.901818181818182,0.7672727272727274,0.5272727272727272,10.17,3.819090909090909,1.0645454545454547,3.432727272727273,2.4790909090909095,0.40454545454545454,3.2990909090909097,14.781818181818181,1.3090909090909089,14.261818181818182,2.2372727272727273,8.515454545454544,4.516363636363637,0.3372727272727273,1.3463636363636367,0.1390909090909091,0.3109090909090909,1.760909090909091,0.30272727272727273,6.505454545454546,2.1463636363636365,0.2990909090909091,1.589090909090909,2.102727272727273,0.03272727272727272,5.347272727272728,2.1981818181818182,0.0,0.05090909090909091,0.6627272727272726,12.961818181818181,0.0,1.8727272727272728,0.2772727272727273,0.0,0.44636363636363635,2.0,0.0,2.0,0.5454545454545454,0
toxic27,4.108444833333333,1.8333333333333333,1.0219348333333333,0.58943615,113.29489545,0.9657629596666667,74.50655911666666,88.76602078333332,7.833333333333333,7.595,32.42333333333333,24.088333333333335,37.294999999999995,27.586666666666662,15.373333333333333,13.29,3.233333333333333,1.1500000000000001,8.333333333333334,0.5750000000000001,0.0,2.0833333333333335,1.7233333333333334,2.765,4.49,3.8066666666666666,0.0,0.0,15.481666666666667,3.233333333333333,0.5750000000000001,1.1500000000000001,1.0416666666666667,0.5750000000000001,9.375,9.375,0.0,0.0,0.0,0.0,10.056666666666667,0.0,0.0,0.0,0.5750000000000001,3.34,1.6166666666666665,1.1500000000000001,0.0,0.0,0.5750000000000001,0.0,1.6166666666666665,0.0,0.5750000000000001,1.0416666666666667,0.5750000000000001,0.5750000000000001,0.0,0.0,0.0,3.34,1.1500000000000001,0.5750000000000001,1.1500000000000001,1.0416666666666667,0.0,1.0416666666666667,16.523333333333333,0.0,4.381666666666667,0.0,2.2983333333333333,2.0833333333333335,1.0416666666666667,0.0,0.0,0.0,1.1500000000000001,0.0,1.0416666666666667,0.0,0.0,0.0,1.0416666666666667,0.0,1.1500000000000001,0.0,0.0,0.0,0.0,1.1500000000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5833333333333334,0
toxic28,26.617131166666667,9.5,3.0405211583333327,1.7885753266666666,83.36058063833333,0.755196448,11.140175922833334,20.964461833333335,69.0,31.941666666666666,52.596666666666664,31.958333333333332,52.19,50.12,19.156666666666666,14.161666666666669,6.423333333333333,0.5883333333333334,3.401666666666667,3.605,0.13999999999999999,4.994999999999999,5.890000000000001,8.02833333333333,12.299999999999999,4.571666666666666,3.83,4.8149999999999995,24.203333333333333,2.308333333333333,0.6566666666666666,1.26,1.3499999999999999,1.4733333333333334,9.098333333333333,5.756666666666667,3.341666666666667,0.13999999999999999,2.223333333333333,0.155,13.611666666666666,0.0,0.5816666666666667,0.375,3.813333333333333,9.611666666666666,1.9649999999999999,1.7599999999999998,0.5750000000000001,1.6116666666666666,0.5,4.206666666666666,3.698333333333333,2.5216666666666665,1.1766666666666667,0.0,2.09,0.815,0.36166666666666664,0.30833333333333335,0.6050000000000001,6.914999999999999,2.561666666666667,0.5016666666666666,1.7033333333333331,2.5749999999999997,0.155,4.003333333333333,19.668333333333333,0.5816666666666667,9.108333333333334,1.5499999999999998,6.605,1.17,0.0,0.89,0.0,0.0,0.0,0.9499999999999998,8.598333333333334,1.64,0.4483333333333333,5.916666666666667,0.595,0.0,1.6633333333333333,1.9516666666666664,0.4383333333333333,0.0,0.0,9.126666666666667,0.0,3.61,0.515,0.0,0.0,2.0,0.0,2.0,0.5833333333333334,1
toxic29,22.129018625,7.0,3.882089629875,2.384652067125,95.22224179125001,0.811737661,18.675857765875,23.5107365,47.0,40.14,46.985,51.55625,38.69,45.637499999999996,16.25625,11.620000000000001,7.37375,0.1525,2.5975,1.2625,0.23625,4.635,3.9274999999999998,9.14375,11.78375,4.24125,3.3074999999999997,3.715,20.536250000000003,6.632499999999999,2.1,1.9700000000000002,1.0525,3.14375,10.39125,4.246250000000001,6.145,0.0,3.5549999999999997,2.05625,11.202499999999999,0.43125,1.07125,0.66125,1.27,12.71,1.7312500000000002,0.9412499999999999,0.6174999999999999,5.136250000000001,1.67,3.44625,4.66,1.6475,1.1575,1.85625,6.17125,2.6574999999999998,1.56,1.09125,0.8625,10.28375,2.2575,1.855,3.3400000000000007,4.092499999999999,0.0,3.11375,16.21875,1.34875,10.97375,1.775,7.8462499999999995,2.1825,0.2975,0.43125,0.855,0.1525,0.19,0.855,5.405,2.0375,0.47125,1.5899999999999999,1.5425,0.0,2.3162499999999997,0.8825000000000001,0.0,0.0,1.04125,10.45625,0.0,3.12875,0.0,0.0,0.0,2.0,2.0,2.0,0.5625,0
toxic30,55.80954449999999,17.75,3.1626133339166667,2.72584331,63.53087878083334,0.5323897245833333,4.53520813225,8.414753499999998,116.91666666666667,34.88916666666667,59.76833333333334,75.66333333333333,74.61500000000001,51.46083333333333,18.139999999999997,14.206666666666665,7.1499999999999995,2.23,2.721666666666667,1.7366666666666664,0.36999999999999994,3.9333333333333336,3.6683333333333334,10.680833333333332,10.972499999999998,6.979166666666667,2.920833333333334,3.739166666666667,24.35833333333333,3.535833333333334,1.3133333333333332,1.5175,1.785,1.705,8.586666666666666,5.990833333333334,2.476666666666666,0.22916666666666666,1.7683333333333333,0.30916666666666665,12.365,0.24750000000000003,0.9841666666666665,0.33499999999999996,2.5083333333333333,8.897499999999999,1.1575,1.18,1.5683333333333334,1.9100000000000001,1.2049999999999998,2.8249999999999997,2.4008333333333334,0.9558333333333334,0.8208333333333333,0.7575,1.8800000000000001,0.4816666666666667,0.8016666666666666,0.5316666666666667,0.17500000000000002,9.717500000000001,3.8091666666666666,1.1516666666666666,3.8175000000000003,1.7,0.12583333333333332,3.1075,17.990833333333335,2.5233333333333334,19.415000000000003,6.19,10.700000000000003,3.2708333333333335,0.6291666666666667,1.3875,0.48833333333333334,0.13833333333333334,0.9775,0.8325,6.631666666666668,0.9158333333333334,1.5274999999999999,2.439166666666667,1.5574999999999999,0.0,2.4274999999999998,2.9491666666666667,0.07666666666666667,0.0,0.6675,9.170833333333334,0.0,1.6941666666666668,0.23083333333333333,0.0,0.18916666666666668,6.0,2.0,1.0,0.5416666666666666,1
toxic31,57.44744650000001,16.25,3.5255026749166665,3.2544891557499995,55.92965667499999,0.5181193000000001,4.92902480425,10.412906833333333,101.16666666666667,8.094999999999999,63.18666666666666,55.088333333333345,44.55583333333333,61.16666666666666,26.074166666666667,15.031666666666668,6.2825,3.195833333333334,2.86,1.8966666666666665,0.7949999999999999,11.045000000000002,3.2708333333333335,8.2175,16.484166666666667,8.475,3.6933333333333334,4.9624999999999995,26.176666666666662,2.8266666666666667,1.7866666666666668,5.023333333333333,1.25,1.4500000000000002,7.029166666666668,3.8508333333333327,3.1775,0.16166666666666665,1.4425,0.65,14.100833333333334,0.37166666666666665,0.3433333333333333,0.47750000000000004,2.689166666666667,10.269999999999998,2.095,0.9258333333333334,1.4866666666666666,1.705,1.6708333333333334,3.0825,3.236666666666667,1.0983333333333334,1.4191666666666667,0.64,2.4116666666666666,0.81,0.4033333333333333,0.73,0.2733333333333333,9.065833333333334,4.507500000000001,0.8391666666666667,1.9916666666666665,1.748333333333333,0.6508333333333333,3.3608333333333333,21.22916666666667,1.7825,12.754166666666668,2.450833333333333,7.089999999999999,4.124166666666667,0.7991666666666667,1.1675000000000002,0.05833333333333333,0.16166666666666665,0.6383333333333334,0.17916666666666667,5.1658333333333335,1.2925,0.4741666666666667,2.1091666666666664,0.8874999999999998,0.1025,0.9216666666666667,1.3933333333333335,0.0,0.0,1.0158333333333334,5.408333333333332,0.0,0.9408333333333333,0.24916666666666668,0.0,0.0,6.0,0.0,1.0,0.5416666666666666,1
toxic32,38.99174516666667,14.0,2.281831743666667,2.1980192093333333,63.54325483333333,0.6750687901666667,6.606265193666668,17.46420516666667,53.833333333333336,19.15833333333333,32.60666666666666,77.88833333333334,30.235,42.85666666666666,15.996666666666664,11.241666666666667,7.206666666666668,2.2049999999999996,1.4483333333333335,0.38166666666666665,0.0,4.753333333333334,3.2483333333333335,7.140000000000001,10.463333333333333,4.17,1.2133333333333332,5.691666666666666,19.576666666666664,2.1083333333333334,1.5566666666666666,0.8766666666666666,0.5583333333333333,0.8783333333333333,4.201666666666667,1.8366666666666667,2.3633333333333333,0.0,1.26,0.5516666666666666,8.005,0.0,0.11333333333333334,0.11333333333333334,0.38166666666666665,6.746666666666667,1.3216666666666665,0.225,0.45,0.8850000000000001,2.2666666666666666,1.5966666666666667,1.09,0.225,0.26833333333333337,0.5950000000000001,0.5633333333333334,0.225,0.11333333333333334,0.11333333333333334,0.11333333333333334,8.79,4.571666666666667,0.5516666666666666,2.28,1.4983333333333333,0.11333333333333334,3.9433333333333334,15.516666666666667,0.8850000000000001,18.35833333333333,3.5533333333333332,10.603333333333332,4.578333333333333,0.0,0.5516666666666666,0.0,0.0,1.3883333333333334,0.6533333333333333,6.686666666666667,0.11333333333333334,1.1066666666666667,1.5366666666666668,3.931666666666667,0.0,0.7083333333333334,0.7733333333333333,0.0,0.0,0.6666666666666666,7.616666666666667,0.0,4.033333333333333,0.11333333333333334,0.11333333333333334,0.0,6.0,0.0,1.0,0.5833333333333334,1
toxic34,21.41112933333333,11.166666666666666,1.8517836308333333,1.3837272758333334,98.48206416666666,0.8214278063333332,12.4217252395,23.826666666666668,50.5,11.895000000000001,38.58833333333333,79.16000000000001,61.035,57.811666666666675,19.77,15.101666666666667,8.108333333333333,2.413333333333333,2.5316666666666667,0.2866666666666667,1.7616666666666667,4.663333333333333,1.1483333333333332,10.83,10.618333333333334,8.041666666666666,7.43,8.031666666666666,24.633333333333336,3.8433333333333337,2.4883333333333333,2.6966666666666668,0.6566666666666667,1.2550000000000001,9.361666666666665,4.803333333333334,4.558333333333334,0.0,3.901666666666666,0.37000000000000005,10.451666666666666,0.6566666666666667,0.6616666666666667,0.2866666666666667,0.5783333333333333,12.198333333333336,2.1183333333333336,3.1566666666666663,0.6933333333333334,1.7566666666666668,1.235,4.396666666666666,1.4033333333333333,0.19999999999999998,1.2033333333333334,0.0,5.590000000000001,1.8916666666666668,0.0,3.408333333333333,0.0,4.4750000000000005,2.901666666666667,0.37000000000000005,0.6883333333333334,0.515,0.0,4.078333333333333,19.22,2.1683333333333334,13.69,3.138333333333333,7.243333333333332,4.283333333333333,0.48666666666666664,1.03,0.5783333333333333,0.315,0.89,2.3816666666666664,6.628333333333334,3.6133333333333333,1.2066666666666668,1.4566666666666668,0.2916666666666667,0.0,0.9983333333333334,0.7833333333333332,0.0,0.0,0.37000000000000005,4.073333333333333,0.0,0.2916666666666667,0.0,0.0,0.0,6.0,0.0,1.0,0.5833333333333334,1
toxic35,68.8464648,13.3,5.5535205543999995,5.280764126399999,50.211687127,0.4250049183,7.6287867745,6.828374500000001,92.1,19.459,52.7,60.58900000000001,48.69499999999999,51.013,22.473,16.406,9.425,1.4779999999999998,3.957,0.781,0.7649999999999999,6.066999999999999,3.9189999999999996,6.387,10.275,6.787000000000001,3.2320000000000007,3.5509999999999997,21.672,3.104,1.8370000000000002,2.008,2.832,1.1239999999999999,8.553999999999998,4.607,3.946,0.076,2.0709999999999997,1.293,11.616,0.425,0.264,0.0,1.407,10.887999999999998,1.8379999999999999,1.702,1.2529999999999997,2.007,1.902,2.56,3.211,1.8559999999999999,0.788,0.46799999999999997,1.9269999999999996,0.5840000000000001,0.738,0.304,0.301,8.569,2.402,1.296,2.8430000000000004,1.959,1.248,3.4560000000000004,15.476999999999999,1.3489999999999998,12.189,2.45,5.153,5.1530000000000005,0.8029999999999999,1.385,0.0,0.0,1.9220000000000002,0.465,8.075,0.952,1.1969999999999998,2.259,3.3890000000000002,0.0,3.6109999999999998,2.307,0.0,0.0,0.9880000000000001,11.399,0.0,1.8979999999999997,0.5640000000000001,0.0,0.55,5.0,2.0,2.0,0.55,0
toxic36,44.071471200000005,7.2,5.1512110924,3.4417585846,75.32854694,0.6309910482000001,37.7948199826,48.769796,118.2,19.076,76.77199999999999,29.04,27.556,44.94,17.330000000000002,12.761999999999999,2.4059999999999997,3.6379999999999995,4.018,0.708,1.988,4.568,1.6260000000000001,9.858,9.188,6.32,4.64,2.86,17.316,1.768,0.982,1.6300000000000001,2.05,1.7,7.37,3.088,4.284000000000001,0.466,2.6559999999999997,0.694,16.962,0.086,1.4120000000000001,0.674,1.7559999999999998,9.952,1.9940000000000002,0.712,1.952,1.262,1.5759999999999998,2.84,0.172,0.0,0.172,0.0,0.6220000000000001,0.0,0.38,0.242,0.0,9.348,5.656,1.8980000000000001,1.23,0.51,1.0219999999999998,1.5699999999999998,12.738,1.31,10.264,1.8039999999999998,5.96,2.502,0.638,1.1059999999999999,0.0,0.294,1.7,1.0779999999999998,3.062,0.242,0.38,1.736,0.25,0.0,1.596,1.15,0.0,0.0,0.47400000000000003,9.352,0.0,2.354,1.086,0.0,0.162,4.0,0.0,2.0,0.6,1
